id,population,name
03094,19967,"Nucia, la"
03095,6647,Ondara
03096,7494,Onil
03097,2085,Orba
03099,80359,Orihuela
03098,778,Orxeta
03100,985,Parcent
03101,7431,Pedreguer
03102,10158,Pego
03103,328,Penàguila
03104,34533,Petrer
03902,21348,Pilar de la Horadada
03105,7627,"Pinós, el/Pinoso"
03106,725,Planes
03901,3246,"Poblets, els"
03107,4549,Polop
03060,113,Quatretondeta
03109,4218,Rafal
03110,630,"Ràfol d'Almúnia, el"
03111,7765,Redován
03112,1258,Relleu
03113,17622,Rojales
03114,2411,"Romana, la"
03115,414,Sagra
03116,1569,Salinas
03118,7384,San Fulgencio
03904,1915,San Isidro
03120,6193,San Miguel de Salinas
03122,56715,San Vicente del Raspeig/Sant Vicent del Raspeig
03117,649,Sanet y Negrals
03119,22897,Sant Joan d'Alacant
03121,31309,Santa Pola
03123,9700,Sax
03124,584,Sella
03125,577,Senija
03127,636,Tàrbena
03128,10654,Teulada
03129,1634,Tibi
03130,53,Tollos
03131,323,Tormos
03132,727,"Torremanzanas/Torre de les Maçanes, la"
03133,84213,Torrevieja
03134,171,"Vall d'Alcalà, la"
03136,582,Vall de Gallinera
03137,801,"Vall de Laguar, la"
03135,243,"Vall d'Ebo, la"
03138,4515,"Verger, el"
03139,33580,"Villajoyosa/Vila Joiosa, la"
03140,34163,Villena
03081,2648,Xaló
04001,1294,Abla
04002,1208,Abrucena
04003,24713,Adra
04004,796,Albánchez
04005,613,Alboloduy
04006,11144,Albox
04007,815,Alcolea
04008,572,Alcóntar
04009,158,Alcudia de Monteagud
04010,677,Alhabia
04011,3687,Alhama de Almería
04012,217,Alicún
04013,194515,Almería
04014,172,Almócita
04015,134,Alsodux
04016,3159,Antas
04017,4538,Arboleas
04018,326,Armuña de Almanzora
04019,272,Bacares
04904,2678,Balanegra
04020,323,Bayárcal
04021,220,Bayarque
04022,885,Bédar
04023,114,Beires
04024,4185,Benahadux
04026,69,Benitagla
04027,280,Benizalón
04028,252,Bentarique
04029,12380,Berja
04030,1279,Canjáyar
04031,3371,Cantoria
04032,7818,Carboneras
04033,139,Castro de Filabres
04036,267,Chercos
04037,1601,Chirivel
04034,169,Cóbdar
04035,13362,Cuevas del Almanzora
04038,3978,Dalías
04902,88752,"Ejido, El"
04041,433,Enix
04043,658,Felix
04044,2079,Fines
04045,2070,Fiñana
04046,1017,Fondón
04047,3030,Gádor
04048,2867,"Gallardos, Los"
04049,8655,Garrucha
04050,1037,Gérgal
04051,513,Huécija
04052,17068,Huércal de Almería
04053,18589,Huércal-Overa
04054,386,Illar
04055,444,Instinción
04056,176,Laroya
04057,1551,Láujar de Andarax
04058,411,Líjar
04059,1484,Lubrín
04060,569,Lucainena de las Torres
04061,754,Lúcar
04062,5628,Macael
04063,1294,María
04064,6490,Mojácar
04903,8740,"Mojonera, La"
04065,483,Nacimiento
04066,28579,Níjar
04067,651,Ohanes
04068,194,Olula de Castro
04069,6216,Olula del Río
04070,2330,Oria
04071,449,Padules
04072,915,Partaloa
04073,372,Paterna del Río
04074,3900,Pechina
04075,8909,Pulpí
04076,1638,Purchena
04077,316,Rágol
04078,1356,Rioja
04079,91965,Roquetas de Mar
04080,241,Santa Cruz de Marchena
04081,431,Santa Fe de Mondújar
04082,322,Senés
04083,2135,Serón
04084,401,Sierro
04085,477,Somontín
04086,2541,Sorbas
04087,235,Suflí
04088,3654,Tabernas
04089,972,Taberno
04090,362,Tahal
04091,395,Terque
04092,3676,Tíjola
04901,625,"Tres Villas, Las"
04093,3351,Turre
04094,238,Turrillas
04095,871,Uleila del Campo
04096,327,Urrácal
04097,256,Velefique
04098,1984,Vélez-Blanco
04099,6692,Vélez-Rubio
04100,15168,Vera
04101,5699,Viator
04102,24957,Vícar
04103,2939,Zurgena
01001,2856,Alegría-Dulantzi
01002,10260,Amurrio
01049,159,Añana
01003,1502,Aramaio
01006,234,Armiñón
01037,722,Arraia-Maeztu
01008,979,Arratzua-Ubarrundia
01004,1840,Artziniega
01009,1630,Asparrena
01010,2946,Ayala/Aiara
01011,308,Baños de Ebro/Mañueta
01013,903,Barrundia
01014,449,Berantevilla
01016,499,Bernedo
01017,1059,Campezo/Kanpezu
01021,612,Elburgo/Burgelu
01022,1005,Elciego
01023,355,Elvillar/Bilar
01046,745,Erriberagoitia/Ribera Alta
01056,237,Harana/Valle de Arana
01901,3270,Iruña Oka/Iruña de Oca
01027,514,Iruraiz-Gauna
01019,186,Kripan
01020,368,Kuartango
01028,1460,Labastida/Bastida
01030,168,Lagrán
01031,1478,Laguardia
01032,681,Lanciego/Lantziego
01902,888,Lantarón
01033,852,Lapuebla de Labarca
01036,18212,Laudio/Llodio
01058,1747,Legutio
01034,212,Leza
01039,229,Moreda de Álava/Moreda Araba
01041,226,Navaridas
01042,1171,Okondo
01043,3326,Oyón-Oion
01044,269,Peñacerrada-Urizaharra
01047,1353,Ribera Baja/Erribera Beitia
01051,4985,Salvatierra/Agurain
01052,303,Samaniego
01053,717,San Millán/Donemiliaga
01054,1339,Urkabustaiz
01055,1015,Valdegovía/Gaubea
01057,292,Villabuena de Álava/Eskuernaga
01059,244634,Vitoria-Gasteiz
01060,269,Yécora/Iekora
01061,188,Zalduondo
01062,398,Zambrana
01018,1727,Zigoitia
01063,2349,Zuia
33001,1766,Allande
33002,11286,Aller
33003,712,Amieva
33004,80114,Avilés
33005,1597,Belmonte de Miranda
33006,1745,Bimenes
33007,1632,Boal
33008,2033,Cabrales
33009,1052,Cabranes
33010,2049,Candamo
33012,6368,Cangas de Onís
33011,13213,Cangas del Narcea
33013,489,Caravia
33014,10636,Carreño
33015,1624,Caso
33016,22626,Castrillón
33017,3575,Castropol
33018,3401,Coaña
33019,3487,Colunga
33020,15968,Corvera de Asturias
33021,5248,Cudillero
33022,1039,Degaña
33023,3835,"Franco, El"
33024,273422,Gijón
33025,10534,Gozón
33026,10127,Grado
33027,899,Grandas de Salime
33028,1412,Ibias
33029,372,Illano
33030,1026,Illas
33031,41199,Langreo
33032,13402,Laviana
33033,11430,Lena
33035,13846,Llanera
33036,13841,Llanes
33037,39505,Mieres
33038,2707,Morcín
33039,1868,Muros de Nalón
33040,5346,Nava
33041,8509,Navia
33042,5260,Noreña
33043,752,Onís
33044,220567,Oviedo
33045,5479,Parres
33046,533,Peñamellera Alta
33047,1253,Peñamellera Baja
33048,170,Pesoz
33049,7311,Piloña
33050,643,Ponga
33051,8502,Pravia
33052,774,Proaza
33053,1235,Quirós
33054,1909,"Regueras, Las"
33055,1791,Ribadedeva
33056,5848,Ribadesella
33057,1906,Ribera de Arriba
33058,2040,Riosa
33059,5260,Salas
33061,410,San Martín de Oscos
33060,16850,San Martín del Rey Aurelio
33063,473,San Tirso de Abres
33062,469,Santa Eulalia de Oscos
33064,270,Santo Adriano
33065,1260,Sariego
33066,51969,Siero
33067,859,Sobrescobio
33068,1190,Somiedo
33069,3940,Soto del Barco
33070,3877,Tapia de Casariego
33071,670,Taramundi
33072,1721,Teverga
33073,9904,Tineo
33034,12243,Valdés
33074,3911,Vegadeo
33075,307,Villanueva de Oscos
33076,14642,Villaviciosa
33077,1315,Villayón
33078,155,Yernes y Tameza
05001,220,Adanero
05002,2619,"Adrada, La"
05005,206,Albornos
05007,119,Aldeanueva de Santa Cruz
05008,262,Aldeaseca
05010,167,"Aldehuela, La"
05012,144,Amavida
05013,998,"Arenal, El"
05014,6615,Arenas de San Pedro
05015,86,Arevalillo
05016,8123,Arévalo
05017,84,Aveinte
05018,32,Avellaneda
05019,58083,Ávila
05021,2474,"Barco de Ávila, El"
05022,1923,"Barraco, El"
05023,184,Barromán
05024,230,Becedas
05025,99,Becedillas
05026,211,Bercial de Zapardiel
05027,328,"Berlanas, Las"
05029,130,Bernuy-Zapardiel
05030,48,Berrocalejo de Aragona
05033,201,Blascomillán
05034,14,Blasconuño de Matacabras
05035,109,Blascosancho
05036,130,"Bohodón, El"
05037,283,Bohoyo
05038,123,Bonilla de la Sierra
05039,49,Brabos
05040,69,Bularros
05041,1208,Burgohondo
05042,165,Cabezas de Alambre
05043,84,Cabezas del Pozo
05044,283,Cabezas del Villar
05045,96,Cabizuela
05046,52,Canales
05047,5034,Candeleda
05048,120,Cantiveros
05049,450,Cardeñosa
05051,192,"Carrera, La"
05052,98,Casas del Puerto
05053,74,Casasola
05054,1479,Casavieja
05055,672,Casillas
05056,97,Castellanos de Zapardiel
05057,3188,Cebreros
05058,82,Cepeda la Mora
05067,88,Chamartín
05059,112,Cillán
05060,115,Cisla
05061,321,"Colilla, La"
05062,183,Collado de Contreras
05063,33,Collado del Mirón
05064,112,Constanzana
05065,515,Crespos
05066,507,Cuevas del Valle
05903,154,Diego del Carpio
05069,80,Donjimeno
05070,36,Donvidas
05072,97,Espinosa de los Caballeros
05073,314,Flores de Ávila
05074,758,Fontiveros
05075,122,Fresnedilla
05076,597,"Fresno, El"
05077,173,Fuente el Saúz
05078,117,Fuentes de Año
05079,69,Gallegos de Altamiros
05080,55,Gallegos de Sobrinos
05081,41,Garganta del Villar
05082,615,Gavilanes
05083,161,Gemuño
05085,41,Gil García
05084,74,Gilbuena
05086,82,Gimialcón
05087,162,Gotarrendura
05088,28,Grandes y San Martín
05089,534,Guisando
05090,83,Gutierre-Muñoz
05092,171,Hernansancho
05093,524,Herradón de Pinares
05094,135,Herreros de Suso
05095,297,Higuera de las Dueñas
05096,81,"Hija de Dios, La"
05097,511,"Horcajada, La"
05099,541,Horcajo de las Torres
05100,311,"Hornillo, El"
05102,2267,"Hoyo de Pinares, El"
05101,310,Hoyocasero
05103,75,Hoyorredondo
05106,34,Hoyos de Miguel Muñoz
05104,37,Hoyos del Collado
05105,391,Hoyos del Espino
05107,58,Hurtumpascual
05108,49,Junciana
05109,505,Langa
05110,885,Lanzahíta
05113,72,"Llanos de Tormes, Los"
05112,109,"Losar del Barco, El"
05114,1503,Madrigal de las Altas Torres
05115,627,Maello
05116,113,Malpartida de Corneja
05117,215,Mamblas
05118,87,Mancera de Arriba
05119,32,Manjabálago y Ortigosa de Rioalmar
05120,39,Marlín
05121,306,Martiherrero
05122,132,Martínez
05123,106,Mediana de Voltoya
05124,106,Medinilla
05125,63,Mengamuñoz
05126,70,Mesegar de Corneja
05127,755,Mijares
05128,400,Mingorría
05129,128,"Mirón, El"
05130,97,Mironcillo
05131,100,Mirueña de los Infanzones
05132,1111,Mombeltrán
05133,73,Monsalupe
05134,52,Moraleja de Matacabras
05135,426,Muñana
05136,112,Muñico
05138,369,Muñogalindo
05139,69,Muñogrande
05140,128,Muñomer del Peco
05141,110,Muñopepe
05142,103,Muñosancho
05143,62,Muñotello
05144,83,Narrillos del Álamo
05145,52,Narrillos del Rebollar
05149,104,Narros de Saldueña
05147,171,Narros del Castillo
05148,26,Narros del Puerto
05152,775,Nava de Arévalo
05153,105,Nava del Barco
05151,104,Navacepedilla de Corneja
05154,41,Navadijos
05155,57,Navaescurial
05156,324,Navahondilla
05157,251,Navalacruz
05158,355,Navalmoral
05159,256,Navalonguilla
05160,332,Navalosa
05161,818,Navalperal de Pinares
05162,93,Navalperal de Tormes
05163,1967,Navaluenga
05164,24,Navaquesera
05165,458,Navarredonda de Gredos
05166,195,Navarredondilla
05167,292,Navarrevisca
05168,5272,"Navas del Marqués, Las"
05169,237,Navatalgordo
05170,57,Navatejares
05171,73,Neila de San Miguel
05172,178,Niharra
05173,67,Ojos-Albos
05174,78,Orbita
05175,173,"Oso, El"
05176,291,Padiernos
05177,186,Pajares de Adaja
05178,423,Palacios de Goda
05179,252,Papatrigo
05180,74,"Parral, El"
05181,50,Pascualcobo
05182,892,Pedro Bernardo
05183,151,Pedro-Rodríguez
05184,308,Peguerinos
05185,108,Peñalba de Ávila
05186,1848,Piedrahíta
05187,2130,Piedralaves
05188,47,Poveda
05189,556,Poyales del Hoyo
05190,50,Pozanco
05191,132,Pradosegar
05192,116,Puerto Castilla
05193,201,Rasueros
05194,150,Riocabado
05195,224,Riofrío
05196,58,Rivilla de Barajas
05197,107,Salobral
05198,77,Salvadiós
05199,41,San Bartolomé de Béjar
05200,48,San Bartolomé de Corneja
05201,581,San Bartolomé de Pinares
05206,36,San Esteban de los Patos
05208,40,San Esteban de Zapardiel
05207,791,San Esteban del Valle
05209,85,San García de Ingelmos
05901,269,San Juan de Gredos
05210,89,San Juan de la Encinilla
05211,512,San Juan de la Nava
05212,216,San Juan del Molinillo
05213,104,San Juan del Olmo
05214,41,San Lorenzo de Tormes
05215,177,San Martín de la Vega del Alberche
05216,177,San Martín del Pimpollar
05217,57,San Miguel de Corneja
05218,132,San Miguel de Serrezuela
05219,43,San Pascual
05220,441,San Pedro del Arroyo
05231,185,San Vicente de Arévalo
05204,748,Sanchidrián
05205,85,Sanchorreja
05222,147,Santa Cruz de Pinares
05221,379,Santa Cruz del Valle
05226,79,Santa María de los Caballeros
05224,111,Santa María del Arroyo
05225,382,Santa María del Berrocal
05902,313,Santa María del Cubillo
05227,483,Santa María del Tiétar
05228,179,Santiago del Collado
05904,136,Santiago del Tormes
05229,88,Santo Domingo de las Posadas
05230,69,Santo Tomé de Zabarcos
05232,117,"Serrada, La"
05233,250,Serranillos
05234,46,Sigeres
05235,124,Sinlabajos
05236,126,Solana de Ávila
05237,174,Solana de Rioalmar
05238,885,Solosancho
05239,232,Sotalbo
05240,4621,Sotillo de la Adrada
05241,4190,"Tiemblo, El"
05242,797,Tiñosillos
05243,86,Tolbaños
05244,50,Tormellas
05245,435,Tornadizos de Ávila
05247,261,"Torre, La"
05246,63,Tórtoles
05249,113,Umbrías
05251,63,Vadillo de la Sierra
05252,72,Valdecasa
05253,89,Vega de Santa María
05254,224,Velayos
05256,122,Villaflor
05257,128,Villafranca de la Sierra
05905,226,Villanueva de Ávila
05258,140,Villanueva de Gómez
05259,138,Villanueva del Aceral
05260,100,Villanueva del Campillo
05261,40,Villar de Corneja
05262,391,Villarejo del Valle
05263,181,Villatoro
05264,48,Viñegra de Moraña
05265,84,Vita
05266,98,Zapardiel de la Cañada
05267,114,Zapardiel de la Ribera
06001,823,Acedera
06002,5485,Aceuchal
06003,934,Ahillones
06004,1915,Alange
06005,2031,"Albuera, La"
06006,5436,Alburquerque
06007,1750,Alconchel
06008,756,Alconera
06009,249,Aljucén
06010,1282,Almendral
06011,34543,Almendralejo
06012,4159,Arroyo de San Serván
06013,298,Atalaya
06014,8008,Azuaga
06015,149946,Badajoz
06016,3621,Barcarrota
06017,310,Baterno
06018,865,Benquerencia de la Serena
06019,2412,Berlanga
06020,2211,Bienvenida
06021,1070,Bodonal de la Sierra
06022,3132,Burguillos del Cerro
06023,5065,Cabeza del Buey
06024,1366,Cabeza la Vaca
06025,6255,Calamonte
06026,1003,Calera de León
06027,823,Calzadilla de los Barros
06028,5083,Campanario
06029,1406,Campillo de Llerena
06030,188,Capilla
06031,562,Carmonita
06032,74,"Carrascalejo, El"
06033,1544,Casas de Don Pedro
06034,194,Casas de Reina
06035,1040,Castilblanco
06036,6115,Castuera
06042,1227,Cheles
06037,2186,"Codosera, La"
06038,945,Cordobilla de Lácara
06039,2200,"Coronada, La"
06040,1282,Corte de Peleas
06041,560,Cristina
06043,762,Don Álvaro
06044,36975,Don Benito
06045,583,Entrín Bajo
06046,1488,Esparragalejo
06047,1043,Esparragosa de la Serena
06048,954,Esparragosa de Lares
06049,1197,Feria
06050,4914,Fregenal de la Sierra
06051,1911,Fuenlabrada de los Montes
06052,4903,Fuente de Cantos
06053,702,Fuente del Arco
06054,6867,Fuente del Maestre
06055,2388,Fuentes de León
06056,530,Garbayuela
06057,631,Garlitos
06058,2410,"Garrovilla, La"
06059,2122,Granja de Torrehermosa
06903,2544,Guadiana del Caudillo
06060,7097,Guareña
06061,1275,"Haba, La"
06062,684,Helechosa de los Montes
06063,3614,Herrera del Duque
06064,943,Higuera de la Serena
06065,358,Higuera de Llerena
06066,2011,Higuera de Vargas
06067,2327,Higuera la Real
06068,503,Hinojosa del Valle
06069,3709,Hornachos
06070,9531,Jerez de los Caballeros
06071,288,"Lapa, La"
06073,870,Llera
06074,5877,Llerena
06072,2825,Lobón
06075,533,Magacela
06076,999,Maguilla
06077,379,Malcocinado
06078,593,Malpartida de la Serena
06079,770,Manchita
06080,2300,Medellín
06081,1256,Medina de las Torres
06082,471,Mengabril
06083,59174,Mérida
06084,1344,Mirandilla
06085,4292,Monesterio
06086,1421,Montemolín
06087,2472,Monterrubio de la Serena
06088,15674,Montijo
06089,727,"Morera, La"
06090,997,"Nava de Santiago, La"
06091,4604,Navalvillar de Pela
06092,699,Nogales
06093,5340,Oliva de la Frontera
06094,1786,Oliva de Mérida
06095,12032,Olivenza
06096,243,Orellana de la Sierra
06097,2796,Orellana la Vieja
06098,700,Palomas
06099,1364,"Parra, La"
06100,1024,Peñalsordo
06101,555,Peraleda del Zaucejo
06102,1239,Puebla de Alcocer
06103,5952,Puebla de la Calzada
06104,781,Puebla de la Reina
06107,1872,Puebla de Obando
06108,2758,Puebla de Sancho Pérez
06105,731,Puebla del Maestre
06106,496,Puebla del Prior
06902,2036,Pueblonuevo del Guadiana
06109,4762,Quintana de la Serena
06110,166,Reina
06111,648,Rena
06112,454,Retamal de Llerena
06113,3449,Ribera del Fresno
06114,152,Risco
06115,1512,"Roca de la Sierra, La"
06116,1865,Salvaleón
06117,1701,Salvatierra de los Barros
06119,860,San Pedro de Mérida
06123,5620,San Vicente de Alcántara
06118,214,Sancti-Spíritus
06120,4108,Santa Amalia
06121,4293,Santa Marta
06122,8218,"Santos de Maimona, Los"
06124,1991,Segura de León
06125,1981,Siruela
06126,2700,Solana de los Barros
06127,3529,Talarrubias
06128,5453,Talavera la Real
06129,708,Táliga
06130,230,Tamurejo
06131,1259,Torre de Miguel Sesmero
06132,1013,Torremayor
06133,2261,Torremejía
06134,656,Trasierra
06135,1418,Trujillanos
06136,1822,Usagre
06137,1116,Valdecaballeros
06901,2782,Valdelacalzada
06138,1221,Valdetorres
06139,623,Valencia de las Torres
06140,756,Valencia del Mombuey
06141,2045,Valencia del Ventoso
06146,1265,Valle de la Serena
06147,379,Valle de Matamoros
06148,1163,Valle de Santa Ana
06142,292,Valverde de Burguillos
06143,4202,Valverde de Leganés
06144,642,Valverde de Llerena
06145,1078,Valverde de Mérida
06149,13224,Villafranca de los Barros
06150,942,Villagarcía de la Torre
06151,1261,Villagonzalo
06152,1570,Villalba de los Barros
06153,25992,Villanueva de la Serena
06154,3464,Villanueva del Fresno
06156,1411,Villar de Rena
06155,2241,Villar del Rey
06157,503,Villarta de los Montes
06158,16855,Zafra
06159,2803,Zahínos
06160,3751,Zalamea de la Serena
06162,3542,"Zarza, La"
06161,347,Zarza-Capilla
07002,8959,Alaior
07001,5282,Alaró
07003,19296,Alcúdia
07004,5394,Algaida
07005,10873,Andratx
07901,859,Ariany
07006,7448,Artà
07007,522,Banyalbufar
07008,7966,Binissalem
07009,1050,Búger
07010,6669,Bunyola
07011,49580,Calvià
07012,2507,Campanet
07013,10164,Campos
07014,11356,Capdepera
07064,7455,"Castell, Es"
07015,28641,Ciutadella de Menorca
07016,3869,Consell
07017,1246,Costitx
07018,642,Deià
07026,49549,Eivissa
07019,230,Escorca
07020,4959,Esporles
07021,323,Estellencs
07022,17319,Felanitx
07023,4617,Ferreries
07024,12124,Formentera
07025,687,Fornalutx
07027,30944,Inca
07028,1257,Lloret de Vistalegre
07029,5710,Lloseta
07030,2157,Llubí
07031,35057,Llucmajor
07033,40279,Manacor
07034,1383,Mancor de la Vall
07032,28099,Maó-Mahón
07035,2073,Maria de la Salut
07036,36001,Marratxí
07037,5098,"Mercadal, Es"
07902,1419,"Migjorn Gran, Es"
07038,2884,Montuïri
07039,6729,Muro
07040,402949,Palma de Mallorca
07041,2774,Petra
07044,12714,"Pobla, Sa"
07042,16222,Pollença
07043,5197,Porreres
07045,2021,Puigpunyent
07059,4895,"Salines, Ses"
07046,24478,Sant Antoni de Portmany
07049,2042,Sant Joan
07050,6070,Sant Joan de Labritja
07048,25849,Sant Josep de sa Talaia
07051,8138,Sant Llorenç des Cardassar
07052,7313,Sant Lluís
07053,1636,Santa Eugènia
07054,36119,Santa Eulària des Riu
07055,11632,Santa Margalida
07056,6832,Santa María del Camí
07057,11220,Santanyí
07058,3864,Selva
07047,3096,Sencelles
07060,3629,Sineu
07061,13791,Sóller
07062,11119,Son Servera
07063,2003,Valldemossa
07065,2941,Vilafranca de Bonany
08001,12216,Abrera
08002,253,Aguilar de Segarra
08014,2467,Aiguafreda
08003,9632,Alella
08004,294,Alpens
08005,8337,"Ametlla del Vallès, L'"
08006,15253,Arenys de Mar
08007,8638,Arenys de Munt
08008,227,Argençola
08009,12051,Argentona
08010,5596,Artés
08011,2257,Avià
08012,2212,Avinyó
08013,1665,Avinyonet del Penedès
08015,215634,Badalona
08904,13482,Badia del Vallès
08016,2162,Bagà
08017,3705,Balenyà
08018,3285,Balsareny
08252,32832,Barberà del Vallès
08019,1608746,Barcelona
08020,6736,Begues
08021,75,Bellprat
08022,16175,Berga
08023,8915,Bigues i Riells
08024,495,Borredà
08025,2014,"Bruc, El"
08026,263,"Brull, El"
08027,943,"Cabanyes, Les"
08028,1351,Cabrera d'Anoia
08029,4553,Cabrera de Mar
08030,7287,Cabrils
08031,3424,Calaf
08034,953,Calders
08033,17137,Caldes de Montbui
08032,2766,Caldes d'Estrac
08035,18317,Calella
08037,2418,Calldetenes
08038,2057,Callús
08036,191,Calonge de Segarra
08039,470,Campins
08040,14284,Canet de Mar
08041,15937,Canovelles
08042,2873,Cànoves i Samalús
08043,4407,Canyelles
08044,5227,Capellades
08045,93,Capolat
08046,18158,Cardedeu
08047,4775,Cardona
08048,791,Carme
08049,1528,Casserres
08057,69,Castell de l'Areny
08052,157,Castellar de n'Hug
08050,176,Castellar del Riu
08051,23633,Castellar del Vallès
08053,3584,Castellbell i el Vilar
08054,12277,Castellbisbal
08055,726,Castellcir
08056,64892,Castelldefels
08058,2193,Castellet i la Gornal
08060,165,Castellfollit de Riubregós
08059,448,Castellfollit del Boix
08061,1995,Castellgalí
08062,1287,Castellnou de Bages
08063,573,Castellolí
08064,2351,Castellterçol
08065,1545,Castellví de la Marca
08066,1807,Castellví de Rosanes
08067,7410,Centelles
08268,1183,Cercs
08266,57543,Cerdanyola del Vallès
08068,8861,Cervelló
08069,4396,Collbató
08070,349,Collsuspina
08071,300,Copons
08072,14168,Corbera de Llobregat
08073,86072,Cornellà de Llobregat
08074,14608,Cubelles
08075,5154,Dosrius
08076,21766,Esparreguera
08077,45733,Esplugues de Llobregat
08078,247,"Espunyola, L'"
08254,2168,"Esquirol, L'"
08079,404,"Estany, L'"
08134,1092,Figaró-Montmany
08080,40,Fígols
08082,1452,Fogars de la Selva
08081,462,Fogars de Montclús
08083,2298,Folgueroles
08084,1401,Fonollosa
08085,1363,Font-rubí
08086,19417,"Franqueses del Vallès, Les"
08090,160,Gaià
08087,187,Gallifa
08088,15912,"Garriga, La"
08089,46266,Gavà
08091,7238,Gelida
08092,4829,Gironella
08093,29,Gisclareny
08094,2091,"Granada, La"
08095,79,Granera
08096,60174,Granollers
08097,1426,Gualba
